epoch,learning_rate,loss,mean_f1,mean_iou,val_loss,val_mean_f1,val_mean_iou
0,0.0010000000474974513,0.3196803033351898,0.19320176541805267,0.1377657800912857,0.25306981801986694,0.3351617455482483,0.23068729043006897
1,0.0010000000474974513,0.1886662244796753,0.5112195611000061,0.3863561749458313,0.14709895849227905,0.6186546087265015,0.4771689474582672
2,0.0010000000474974513,0.11804066598415375,0.694011390209198,0.5605376362800598,0.2194080650806427,0.41925501823425293,0.31147029995918274
3,0.0010000000474974513,0.11262685805559158,0.7045440077781677,0.5765073895454407,0.1032431572675705,0.7298676371574402,0.5986201763153076
4,0.0010000000474974513,0.10253732651472092,0.7296614050865173,0.6042502522468567,0.08820544183254242,0.7675609588623047,0.6454620957374573
5,0.0010000000474974513,0.10597290843725204,0.7206637263298035,0.5966518521308899,0.11927278339862823,0.6845198273658752,0.5496424436569214
6,0.0010000000474974513,0.10413289815187454,0.7249148488044739,0.6006806492805481,0.09376130998134613,0.7525877356529236,0.6258984208106995
7,0.0003000000142492354,0.08757513761520386,0.7682723999023438,0.6500382423400879,0.08354461193084717,0.7793838977813721,0.662263035774231
8,0.0003000000142492354,0.08140908926725388,0.7847028374671936,0.6671287417411804,0.07793425023555756,0.7942078113555908,0.681007981300354
9,0.0003000000142492354,0.08317166566848755,0.7801316380500793,0.6640325784683228,0.07782760262489319,0.7958880662918091,0.6817232370376587
