epoch,learning_rate,loss,mean_f1,mean_iou,val_loss,val_mean_f1,val_mean_iou

0,0.0010000000474974513,0.21762390434741974,0.45424777269363403,0.35126373171806335,0.08988116681575775,0.7699647545814514,0.6421185731887817

1,0.0010000000474974513,0.11189911514520645,0.709404468536377,0.581371545791626,0.1970146894454956,0.4828828275203705,0.3848143219947815

2,0.0010000000474974513,0.1839122325181961,0.5171731114387512,0.42401549220085144,0.18274572491645813,0.5199462175369263,0.4293087422847748

3,0.0003000000142492354,0.1799580156803131,0.5274047255516052,0.43694186210632324,0.1785474717617035,0.5308257341384888,0.44320759177207947

4,0.0003000000142492354,0.1280299723148346,0.6646315455436707,0.5556215047836304,0.07365110516548157,0.808761715888977,0.6907816529273987

5,0.0003000000142492354,0.07514803856611252,0.803939163684845,0.6829582452774048,0.07167980819940567,0.8135730624198914,0.6981407403945923

6,0.0003000000142492354,0.0716925859451294,0.8121849894523621,0.694493293762207,0.08431297540664673,0.7794870138168335,0.6580398082733154

7,0.0003000000142492354,0.07330841571092606,0.8083586096763611,0.6897945404052734,0.06740023195743561,0.8234632611274719,0.7130905389785767

8,0.0003000000142492354,0.07250228524208069,0.8100468516349792,0.693453848361969,0.06880512833595276,0.8199163675308228,0.7087684273719788

9,0.0003000000142492354,0.07192782312631607,0.8119173049926758,0.6948667764663696,0.0666877031326294,0.8253577351570129,0.7161542177200317

