epoch,learning_rate,loss,mean_f1,mean_iou,val_loss,val_mean_f1,val_mean_iou
0,0.0010000000474974513,0.1956949084997177,0.6045705080032349,0.5128869414329529,0.08876608312129974,0.8577362895011902,0.7590889930725098
1,0.0010000000474974513,0.0763469785451889,0.8833931684494019,0.7964382767677307,0.13979452848434448,0.7429255843162537,0.6311435699462891
2,0.0010000000474974513,0.06943457573652267,0.8980919718742371,0.8197205066680908,0.07028859108686447,0.8954290151596069,0.8172628879547119
3,0.0010000000474974513,0.06574605405330658,0.9059843420982361,0.8319898247718811,0.06875604391098022,0.8990704417228699,0.8223956823348999
4,0.0010000000474974513,0.06414168328046799,0.9093821048736572,0.8375479578971863,0.07173459976911545,0.8922417163848877,0.8119738698005676
5,0.0010000000474974513,0.06282932311296463,0.9122251272201538,0.8418333530426025,0.05818315967917442,0.9213318228721619,0.8576111197471619
6,0.0010000000474974513,0.061837438493967056,0.9141727089881897,0.8458317518234253,0.060911472886800766,0.9156460762023926,0.8484743237495422
7,0.0010000000474974513,0.060876280069351196,0.9165329933166504,0.8490215539932251,0.05600043758749962,0.9280657172203064,0.8686029314994812
8,0.0010000000474974513,0.06114059314131737,0.9158598780632019,0.8485443592071533,0.06327677518129349,0.9085816740989685,0.8387026786804199
9,0.0010000000474974513,0.059429559856653214,0.9194244742393494,0.8541828393936157,0.05705758556723595,0.9244785904884338,0.8626906275749207
