epoch,learning_rate,loss,mean_f1,mean_iou,val_loss,val_mean_f1,val_mean_iou
0,0.0010000000474974513,0.270594984292984,0.3168014883995056,0.24073901772499084,0.1758321225643158,0.5420598387718201,0.40490198135375977
1,0.0010000000474974513,0.08337690681219101,0.7840081453323364,0.6591194272041321,0.07428082823753357,0.806699275970459,0.689667284488678
2,0.0010000000474974513,0.13457122445106506,0.6487705111503601,0.5501642823219299,0.08826207369565964,0.7691330909729004,0.6452087759971619
3,0.0010000000474974513,0.07109921425580978,0.8143166303634644,0.6998093724250793,0.08014726638793945,0.7902289628982544,0.6678861379623413
4,0.0003000000142492354,0.06214916706085205,0.8376545310020447,0.7304471731185913,0.054210565984249115,0.8581845164299011,0.7605401277542114
5,0.0003000000142492354,0.05957601219415665,0.843931257724762,0.739711344242096,0.053930483758449554,0.8589471578598022,0.7625066041946411
6,0.0003000000142492354,0.055251650512218475,0.8556762933731079,0.7548231482505798,0.05119221657514572,0.8659998178482056,0.7720078825950623
7,0.0003000000142492354,0.05375548452138901,0.8595975637435913,0.7607189416885376,0.04846123233437538,0.8732263445854187,0.7821314930915833
8,0.0003000000142492354,0.05836189538240433,0.8471053838729858,0.7450293898582458,0.05356218293309212,0.859702467918396,0.7634672522544861
9,0.0003000000142492354,0.052541978657245636,0.8624348640441895,0.7660794854164124,0.047406263649463654,0.8757637739181519,0.7870615720748901
