epoch,learning_rate,loss,mean_f1,mean_iou,val_loss,val_mean_f1,val_mean_iou
0,0.0010000000474974513,0.3727428913116455,0.04412221536040306,0.02686835080385208,0.3755444884300232,0.10481802374124527,0.06202586367726326
1,0.0010000000474974513,0.3278621733188629,0.1768360286951065,0.10677112638950348,0.3828499913215637,0.02473117969930172,0.013338214717805386
2,0.0010000000474974513,0.3066444993019104,0.22985884547233582,0.14266696572303772,0.3485601246356964,0.17413493990898132,0.10309329628944397
3,0.0010000000474974513,0.27443093061447144,0.31226280331611633,0.20278730988502502,0.3041037917137146,0.23610180616378784,0.1474376767873764
4,0.0010000000474974513,0.22328045964241028,0.44336602091789246,0.3074565529823303,0.3473382592201233,0.1296510100364685,0.07591045647859573
5,0.0010000000474974513,0.1636122316122055,0.5937409996986389,0.4446214437484741,0.3056347072124481,0.23154902458190918,0.142989382147789
6,0.0010000000474974513,0.13839271664619446,0.6567144989967346,0.5117002129554749,0.1315370500087738,0.6765292882919312,0.5340292453765869
7,0.0010000000474974513,0.12188739329576492,0.6979533433914185,0.556378960609436,0.1228264644742012,0.6992416977882385,0.5593587160110474
8,0.0010000000474974513,0.1110384613275528,0.7249951362609863,0.5886290669441223,0.1306547224521637,0.6797780990600586,0.5371336936950684
9,0.0010000000474974513,0.10067462921142578,0.7508089542388916,0.6211264133453369,0.1128019317984581,0.7218283414840698,0.5879006385803223
10,0.0010000000474974513,0.09683924168348312,0.7603941559791565,0.632591962814331,0.10428054630756378,0.7470007538795471,0.620478630065918
11,0.0010000000474974513,0.09047253429889679,0.77601557970047,0.6537546515464783,0.08734521269798279,0.7853511571884155,0.666519284248352
12,0.0010000000474974513,0.08463157713413239,0.7909054756164551,0.6716702580451965,0.08649004250764847,0.7870631217956543,0.6663675308227539
13,0.0010000000474974513,0.08387384563684464,0.7925706505775452,0.6754467487335205,0.11214178800582886,0.7237547636032104,0.5894718170166016
14,0.0010000000474974513,0.0791705921292305,0.8042077422142029,0.6903044581413269,0.06982703506946564,0.8288010954856873,0.7243269085884094
