epoch,learning_rate,loss,mean_f1,mean_iou,val_loss,val_mean_f1,val_mean_iou
0,0.0010000000474974513,0.06774948537349701,0.7637207508087158,0.6526398062705994,0.08449133485555649,0.7352657318115234,0.6204794049263
1,0.0010000000474974513,0.07132668793201447,0.7944114208221436,0.6860942840576172,0.13951021432876587,0.6348486542701721,0.5433126091957092
2,0.0010000000474974513,0.06415599584579468,0.809628427028656,0.6949774026870728,0.12396957725286484,0.5323113799095154,0.4191046357154846
3,0.0003000000142492354,0.07576034218072891,0.7407505512237549,0.6334667205810547,0.14061401784420013,0.6415612697601318,0.5588151812553406
4,0.0003000000142492354,0.06642076373100281,0.8030388355255127,0.690076470375061,0.1382100135087967,0.6460619568824768,0.565760612487793
5,9.000000136438757e-05,0.06477013975381851,0.7874583601951599,0.6774938702583313,0.05959874764084816,0.7503435611724854,0.6707056164741516
6,9.000000136438757e-05,0.0650709718465805,0.8104190826416016,0.7066263556480408,0.12718790769577026,0.431735098361969,0.348778635263443
7,9.000000136438757e-05,0.062199290841817856,0.7812002301216125,0.6711477041244507,0.13648422062397003,0.6523524522781372,0.5742435455322266
8,2.700000004551839e-05,0.06553744524717331,0.795326292514801,0.6855994462966919,0.06709352135658264,0.5809892416000366,0.46918985247612
9,2.700000004551839e-05,0.060370393097400665,0.7921709418296814,0.6897253394126892,0.13560926914215088,0.6533467173576355,0.5753670334815979
