epoch,learning_rate,loss,mean_f1,mean_iou,val_loss,val_mean_f1,val_mean_iou
0,0.0010000000474974513,0.19493770599365234,0.46777793765068054,0.3238954544067383,0.25147315859794617,0.4021546244621277,0.29019051790237427
1,0.0010000000474974513,0.18270839750766754,0.5111194252967834,0.3653770685195923,0.2356710582971573,0.4455583393573761,0.33344531059265137
2,0.0010000000474974513,0.15826502442359924,0.5650332570075989,0.41563713550567627,0.1422332227230072,0.5841646790504456,0.4670512080192566
3,0.0010000000474974513,0.12323685735464096,0.649678111076355,0.5008092522621155,0.21479730308055878,0.38270410895347595,0.2758013904094696
4,0.0010000000474974513,0.12187491357326508,0.6570561528205872,0.5110897421836853,0.22801326215267181,0.442827045917511,0.3380129337310791
5,0.0003000000142492354,0.12022284418344498,0.6606895327568054,0.5230528116226196,0.13653762638568878,0.590900182723999,0.48926612734794617
6,0.0003000000142492354,0.10067614167928696,0.7250023484230042,0.5894948840141296,0.14095722138881683,0.594624936580658,0.49349290132522583
7,0.0003000000142492354,0.09961861371994019,0.7057538628578186,0.575300931930542,0.11811402440071106,0.6751910448074341,0.5596920251846313
8,0.0003000000142492354,0.1120215579867363,0.6715271472930908,0.5385393500328064,0.10132700204849243,0.7802612781524658,0.6792584657669067
9,0.0003000000142492354,0.10580363869667053,0.7109584212303162,0.574515163898468,0.09518057107925415,0.7460758090019226,0.621637225151062
