epoch,learning_rate,loss,mean_f1,mean_iou,val_loss,val_mean_f1,val_mean_iou
0,0.0010000000474974513,0.26801666617393494,0.318112313747406,0.24529579281806946,0.1349698007106781,0.6645241975784302,0.5431445837020874
1,0.0010000000474974513,0.07983461022377014,0.8027563691139221,0.7078813314437866,0.05342872068285942,0.8656005859375,0.7829936742782593
2,0.0010000000474974513,0.07262591272592545,0.8143448829650879,0.7242239117622375,0.07004524767398834,0.8218679428100586,0.7218579053878784
3,0.0010000000474974513,0.06241566687822342,0.8393365740776062,0.7561647295951843,0.07858534157276154,0.8002168536186218,0.7044772505760193
4,0.0010000000474974513,0.05626137554645538,0.8543199896812439,0.7803391218185425,0.04129071906208992,0.892072319984436,0.8214876055717468
5,0.0010000000474974513,0.09450704604387283,0.7555707693099976,0.6721828579902649,0.15365611016750336,0.5977729558944702,0.5376787185668945
6,0.0010000000474974513,0.07632213830947876,0.8020573854446411,0.7286084294319153,0.046759698539972305,0.8795536160469055,0.8022845387458801
7,0.0010000000474974513,0.05389878898859024,0.8595724701881409,0.7858130931854248,0.04752223566174507,0.8753688931465149,0.7983497381210327
8,0.0005000000237487257,0.04540908336639404,0.8809573650360107,0.8139076232910156,0.030528530478477478,0.9202591776847839,0.8642260432243347
9,0.0005000000237487257,0.06505393236875534,0.8302664756774902,0.7624345421791077,0.030241942033171654,0.9209810495376587,0.8661935925483704
10,0.0005000000237487257,0.04302261397242546,0.8884617686271667,0.8237136602401733,0.03752777352929115,0.9005346298217773,0.8370539546012878
11,0.0005000000237487257,0.04263700172305107,0.8889845013618469,0.825214684009552,0.03410082310438156,0.9110166430473328,0.8502269983291626
12,0.0005000000237487257,0.034809477627277374,0.9093990325927734,0.8531995415687561,0.027662286534905434,0.9274324178695679,0.8765457272529602
13,0.0005000000237487257,0.040239494293928146,0.8944318890571594,0.8342468738555908,0.027517545968294144,0.926708996295929,0.8757034540176392
14,0.0005000000237487257,0.034571997821331024,0.9095914959907532,0.8542922139167786,0.02607344649732113,0.9303076863288879,0.8828374147415161
