epoch,learning_rate,loss,mean_f1,mean_iou,val_loss,val_mean_f1,val_mean_iou
0,0.0010000000474974513,0.29027631878852844,0.26330775022506714,0.18645794689655304,0.1918497383594513,0.542542576789856,0.396245539188385
1,0.0010000000474974513,0.12497466802597046,0.6799959540367126,0.5501701831817627,0.13346704840660095,0.6591386198997498,0.5296987295150757
2,0.0010000000474974513,0.12287353724241257,0.6831349730491638,0.569050133228302,0.16974247992038727,0.558340311050415,0.4801368713378906
3,0.0010000000474974513,0.12905272841453552,0.664718508720398,0.5626224875450134,0.22304058074951172,0.4192943572998047,0.310650497674942
4,0.0010000000474974513,0.11083479225635529,0.7137154340744019,0.599626362323761,0.10635901987552643,0.7250775098800659,0.5962307453155518
5,0.0010000000474974513,0.10580442100763321,0.7252988815307617,0.6142670512199402,0.07785745710134506,0.8017646670341492,0.6924581527709961
6,0.0010000000474974513,0.08486086875200272,0.7801011800765991,0.6712517142295837,0.07035339623689651,0.8177779912948608,0.7147225141525269
7,0.0010000000474974513,0.07580678910017014,0.8033478856086731,0.6978583931922913,0.06741064786911011,0.825060248374939,0.7253222465515137
8,0.0010000000474974513,0.08252088725566864,0.7849151492118835,0.6782589554786682,0.0951135978102684,0.7534917593002319,0.6343256831169128
9,0.0010000000474974513,0.0977417603135109,0.745932400226593,0.6351004838943481,0.06774583458900452,0.8243721723556519,0.7227379083633423
