epoch,learning_rate,loss,mean_f1,mean_iou,val_loss,val_mean_f1,val_mean_iou
0,0.0010000000474974513,0.31631749868392944,0.1989741325378418,0.13602235913276672,0.30584385991096497,0.22588209807872772,0.16317524015903473
1,0.0010000000474974513,0.21469904482364655,0.44169697165489197,0.33388519287109375,0.19491074979305267,0.4896423816680908,0.39391225576400757
2,0.0010000000474974513,0.18321795761585236,0.5175925493240356,0.4280700981616974,0.17961764335632324,0.5268847942352295,0.4367360472679138
3,0.0010000000474974513,0.18589405715465546,0.5088929533958435,0.41937461495399475,0.17332705855369568,0.542289137840271,0.4553380608558655
4,0.0010000000474974513,0.1752617508172989,0.5363491177558899,0.4488849639892578,0.16936121881008148,0.5525974035263062,0.4679745137691498
5,0.0010000000474974513,0.2175823152065277,0.4254259467124939,0.348296582698822,0.27507561445236206,0.27393636107444763,0.22473788261413574
6,0.0010000000474974513,0.2723243534564972,0.27986058592796326,0.23258726298809052,0.2705895006656647,0.28512492775917053,0.23863331973552704
7,0.0010000000474974513,0.2719212472438812,0.2804878354072571,0.23387038707733154,0.2702634632587433,0.28589722514152527,0.24003048241138458
8,0.0005000000237487257,0.27069368958473206,0.28373464941978455,0.23808453977108002,0.27018070220947266,0.2861437201499939,0.24031877517700195
9,0.0005000000237487257,0.2711983621120453,0.2823839783668518,0.23656275868415833,0.27024441957473755,0.2859821617603302,0.24004872143268585
