epoch,learning_rate,loss,mean_f1,mean_iou,val_loss,val_mean_f1,val_mean_iou
0,0.0010000000474974513,0.21552297472953796,0.4545218348503113,0.35664892196655273,0.11117817461490631,0.7115660905838013,0.5666586756706238
1,0.0010000000474974513,0.1483016312122345,0.6128288507461548,0.5001656413078308,0.19380339980125427,0.491057813167572,0.3946412205696106
2,0.0010000000474974513,0.1850263774394989,0.5142990350723267,0.42079922556877136,0.18308237195014954,0.5191459059715271,0.42851385474205017
3,0.0003000000142492354,0.18221156299114227,0.5214934945106506,0.431099534034729,0.17826858162879944,0.5314518213272095,0.44477567076683044
4,0.0003000000142492354,0.17931199073791504,0.5288095474243164,0.4396103024482727,0.17643842101097107,0.5361680388450623,0.45048514008522034
5,9.000000136438757e-05,0.13622123003005981,0.6434990763664246,0.5401248335838318,0.07289084792137146,0.8091210126876831,0.6907973885536194
6,9.000000136438757e-05,0.0739016905426979,0.8071399331092834,0.688044548034668,0.06890754401683807,0.8186686635017395,0.7059553861618042
7,9.000000136438757e-05,0.07096872478723526,0.8145262598991394,0.697539210319519,0.084353968501091,0.7791715264320374,0.6569949388504028
8,9.000000136438757e-05,0.0708610787987709,0.8148694038391113,0.6977752447128296,0.0669892206788063,0.8249400854110718,0.7145267128944397
9,9.000000136438757e-05,0.07005295902490616,0.8168482780456543,0.7008536458015442,0.06679233908653259,0.8264378309249878,0.7163172960281372
